"region","grupa","koef_zaetost","godina"
"Силистра","zheni",42.9,"2014"
"Североизточен","zheni",55.6,"2014"
"Варна","zheni",55.9,"2014"
"Добрич","zheni",58.5,"2014"
"Търговище","zheni",49.9,"2014"
"Шумен","zheni",55.5,"2014"
"Югоизточен","zheni",52.9,"2014"
"Бургас","zheni",53.6,"2014"
"Сливен","zheni",50.7,"2014"
"Стара Загора","zheni",52.6,"2014"
"Ямбол","zheni",54.5,"2014"
"Югозападен","zheni",64.6,"2014"
"Благоевград","zheni",63.4,"2014"
"Кюстендил","zheni",58.6,"2014"
"Перник","zheni",60.3,"2014"
"София","zheni",53.6,"2014"
"София (столица)","zheni",67.5,"2014"
"Южен централен","zheni",58.1,"2014"
"Кърджали","zheni",61,"2014"
"Пазарджик","zheni",52.9,"2014"
"Пловдив","zheni",59.5,"2014"
"Смолян","zheni",59.2,"2014"
"Хасково","zheni",57.8,"2014"
