"Data Source","World Development Indicators",

"Last Updated Date","2015-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.32522359604016","4.09642457181","3.85536769182839","-0.965374832527218","2.48493638431459","-2.397800778012","-4.3087653989944","-1.75669628122601","5.28075326599189","-0.592892312554611","-0.913111282539887","1.5440340474143","-4.02489615560393","-6.9961567885165","-5.7223423397889","","","","","",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.59528295319889","2.79293099527771","2.67604448682826","1.02744261955768","-3.36082242684968","-0.190484236828098","-0.262054684105124","-1.47451079082106","-3.04138462383175","-1.31698124776214","-3.96451439586404","-2.92123113327885","-2.58840072808299","-2.60570664454502","-2.02178180832901","-1.00422687282094","1.31504410904306","0.982744018780934","0.793760871202991","-0.144368906815572","-1.36773404142598","-2.89178404514317","-4.43681438477694","-0.398965641596618","0.911676243199295","3.9659057011262","9.38080318869532","3.66548003355986","3.63612256035803","-0.868387922848228","2.00972623899038","1.02074944399151","6.09417376658475","3.39870368156517","4.96789132951791","3.74992589279269","0.798228978798932","-7.08204753613374","-2.21615485011752","-4.434345271864","-4.75132606597649","-2.38059219200487","-1.14591357440285","",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.15945350901549","-2.74176670177091","7.40915637046528","2.38138342377421","10.6410255821272","0.993682582670672","18.0681369628874","5.80004859846206","3.53364665583464","11.6757717156664","-0.491916993022357","-0.37805848101911",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0348677561884898","5.18762076211668","3.04534144945538","-2.12797679769398","-3.02757038792598","-4.15751879680415","-9.8617924921287","-27.1459451119301","0.227782310432929","7.10285285000134","8.10123736059045","5.03667512672385","3.99062110235511","0.388998127841944","-0.0528832505285521","0.885720796987854","9.98895359379183","1.59964422218141","7.02328649166608","14.2037548309467","16.6592447632702","18.5067054394665","10.078329548405","-0.899818001347597","0.114996948470079","0.667403932282681","1.92290138503934","3.56151490855592","0.777068786680005",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864852156911","0.795840072209202","-1.01680216831892","-3.30749720220655","-0.290595349627566","3.61465556081779","-2.74949637339388","-3.26252235655039","6.92361730526893","-11.1879053161321","-29.1632714741499","-6.63551868515493","10.2707860933139","8.96687740665575","14.0020242137425","9.78018044269191","-9.63660378473203","13.411496361985","10.7995337527166","7.98606793416801","8.00889000471852","3.20903625359338","6.09621643193157","6.3435154923154","6.04123408979783","5.6645612452906","6.70344251045665","8.36464526541305","4.05308948782579","4.22305118485696","2.83628558562128","1.77404128114091","1.52673864026931","2.00177766261585",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","9.20973952870385","4.91368566279617","-1.56403711658956","6.79049423815317","6.18343426338504","1.03928271377929","-6.50534800962141","-5.68610166134663","-1.49940520684039","-3.5114439057177","-2.36938528237957","-2.57450663579625","1.61865486680198","-0.695648616442043","5.98323264826833","-1.27031278102469","3.09436091562314","1.04295842535531","1.01834382498424","-0.242204038316288","2.57043316513466","2.13007443886313","2.64872238638847","0.189335541296899","2.8306588157468","0.214329408684506","-0.374730488030153","2.93057443044289","6.69128577790212","3.83390725806638","4.7701738599266","3.26136616506987","3.79357542347807","-0.678364591211647","2.18829374797539","1.4455883896876","4.11119476612471","1.12017935517439","0.272538701506988",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","-0.427058178075683","4.62903772253647","-13.911737399516","8.00733748907672","13.046008450473","-2.61791120603939","-11.9738782480362","-9.41808607590622","-1.02550516408955","-8.59773612566822","-19.707950935355","-2.61586004342176","-8.32995654634834","5.89441330607157","11.8163037810864","-4.50558421175073","-2.04440413046765","-3.90254293114779","1.5796890872644","1.4975998337069","0.467184614677208","2.46019015530123","-4.97138142129862","-2.08171848121589","5.99186935751544","-2.02454204199222","-0.485321099298659","4.1089721277573","0.899607157517096","-7.53436499044898","-6.53487906501077","-13.2206788856241","-12.0060302638143","-16.5337960742096","-7.07203942506685","-0.797381558198367","1.48768757937749","3.61878005321768","2.51414482544288",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.74152483343178","-2.4166200341881","-6.7771707394341","8.46009815041565","8.9334198156598","-2.08740662348355","1.74096946453798","3.34572952653447","8.08457804541874","1.47340487138877","3.95807406275554","-0.0738895870732534","1.06053975030551","3.75942404782509","-1.65396774927116","-3.54767015899182","5.31986539633084","-5.91730415065641","8.59807918685785","2.60089004459508","-7.10992017273449","-6.39629566756899","2.30004386289787","0.668810460782041","-8.96906576046288","6.27825822068885","1.40165878299155","-3.96593478053371","-8.81100951593574","-3.75854921151425","11.1357077812516","10.4526893604651","4.53125625964151","4.49046770411515","-4.05521086853615","4.23722829150854","6.81850424248482","2.6463921483026","-4.45762554769982","-1.83347490210558","-5.35849468182276","-11.733225361567","7.85426182122025","8.0665533652962","8.24044154116183","7.45457722757645","7.0255832265409","2.17937792248324","-0.818791711539518","8.50117337294181","7.44302633769371","-0.0770128104569068","1.99338541263998","-0.388462739200634",
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8757355304675","-40.7469353510688","-6.63956693553229","7.95431519690442","9.11449725465521","7.52499313070196","4.49906405608917","8.15117312858061","3.93900142865458","6.51011053614003","10.1344350223959","13.667648454482","14.4528551138839","10.8468200804435","14.271144769301","13.6505827728054","14.2448865215304","7.34497865483593","-13.8800147755121","2.36063716551811","4.67795878571235","7.02088087516948","3.2397344764765","3.14274659209038",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
