"region","godina","godishna_zaplata"
"София","2006",4310
"София (столица)","2006",5842
"Южен централен район","2006",3569
"Кърджали","2006",3515
"Пазарджик","2006",3661
"Пловдив","2006",3689
"Смолян","2006",3331
"Хасково","2006",3236
"Видин","2007",4021
"Враца","2007",5127
"Ловеч","2007",4317
"Монтана","2007",4181
"Плевен","2007",4181
"Северен централен район","2007",4299
"Велико Търново","2007",4157
"Габрово","2007",4701
"Разград","2007",4202
"Русе","2007",4326
"Силистра","2007",4033
"Североизточен район","2007",4739
"Варна","2007",5168
"Добрич","2007",4254
"Търговище","2007",4023
"Шумен","2007",4251
"Югоизточен район","2007",4841
"Бургас","2007",5007
"Сливен","2007",3906
"Стара Загора","2007",5225
"Ямбол","2007",4094
"Югозападен район","2007",6350
"Благоевград","2007",3842
"Кюстендил","2007",4186
"Перник","2007",4447
"София","2007",5292
"София (столица)","2007",7069
"Южен централен район","2007",4203
"Кърджали","2007",4044
"Пазарджик","2007",4352
"Пловдив","2007",4311
"Смолян","2007",4028
"Хасково","2007",3855
"Видин","2008",4799
"Враца","2008",6631
"Ловеч","2008",5146
"Монтана","2008",5137
"Плевен","2008",5268
"Северен централен район","2008",5312
"Велико Търново","2008",5144
"Габрово","2008",5641
"Разград","2008",5172
"Русе","2008",5465
"Силистра","2008",4915
"Североизточен район","2008",5937
"Варна","2008",6448
"Добрич","2008",5353
"Търговище","2008",4909
"Шумен","2008",5357
"Югоизточен район","2008",6012
"Бургас","2008",6117
"Сливен","2008",4966
"Стара Загора","2008",6547
"Ямбол","2008",5045
"Югозападен район","2008",8108
"Благоевград","2008",4819
"Кюстендил","2008",4924
"Перник","2008",5511
"София","2008",6302
"София (столица)","2008",9054
"Южен централен район","2008",5268
"Кърджали","2008",4988
"Пазарджик","2008",5324
"Пловдив","2008",5390
"Смолян","2008",5259
"Хасково","2008",4922
"Видин","2009",5251
"Враца","2009",7696
"Ловеч","2009",5715
"Монтана","2009",5641
"Плевен","2009",5890
"Северен централен район","2009",5888
"Велико Търново","2009",5765
"Габрово","2009",6112
"Разград","2009",5721
"Русе","2009",6112
"Силистра","2009",5349
"Североизточен район","2009",6534
"Варна","2009",7159
"Добрич","2009",5772
"Търговище","2009",5389
"Шумен","2009",5803
"Югоизточен район","2009",6837
"Бургас","2009",6830
"Сливен","2009",5649
"Стара Загора","2009",7602
"Ямбол","2009",5701
"Югозападен район","2009",8977
"Благоевград","2009",5423
"Кюстендил","2009",5454
"Перник","2009",5710
"София","2009",7026
"София (столица)","2009",9913
"Южен централен район","2009",5835
"Кърджали","2009",5465
"Пазарджик","2009",5620
"Пловдив","2009",6054
"Смолян","2009",5867
"Хасково","2009",5443
"Видин","2010",5422
"Враца","2010",8509
"Ловеч","2010",5936
"Монтана","2010",6028
"Плевен","2010",6093
"Северен централен район","2010",6236
"Велико Търново","2010",6119
"Габрово","2010",6591
"Разград","2010",6071
"Русе","2010",6354
"Силистра","2010",5771
"Североизточен район","2010",6890
"Варна","2010",7533
"Добрич","2010",6130
"Търговище","2010",5620
"Шумен","2010",6214
"Югоизточен район","2010",7205
"Бургас","2010",7092
"Сливен","2010",6000
"Стара Загора","2010",8080
"Ямбол","2010",6034
"Югозападен район","2010",9572
"Благоевград","2010",5683
"Кюстендил","2010",5891
"Перник","2010",5890
"София","2010",7749
"София (столица)","2010",10547
"Южен централен район","2010",6197
"Кърджали","2010",5643
"Пазарджик","2010",6087
"Пловдив","2010",6462
"Смолян","2010",6134
"Хасково","2010",5638
"Видин","2011",5532
"Враца","2011",8657
"Ловеч","2011",6184
"Монтана","2011",6289
"Плевен","2011",6308
"Северен централен район","2011",6598
"Велико Търново","2011",6488
"Габрово","2011",6827
"Разград","2011",6488
"Русе","2011",6783
"Силистра","2011",6059
"Североизточен район","2011",7350
"Варна","2011",8144
"Добрич","2011",6394
"Търговище","2011",5913
"Шумен","2011",6499
"Югоизточен район","2011",7518
"Бургас","2011",7359
"Сливен","2011",6191
"Стара Загора","2011",8512
"Ямбол","2011",6343
"Югозападен район","2011",10192
"Благоевград","2011",5990
"Кюстендил","2011",6219
"Перник","2011",6080
"София","2011",8360
"София (столица)","2011",11249
"Южен централен район","2011",6541
"Кърджали","2011",5895
"Пазарджик","2011",6368
"Пловдив","2011",6889
"Смолян","2011",6122
"Хасково","2011",5999
"Видин","2012",5855
"Враца","2012",9231
"Ловеч","2012",6509
"Монтана","2012",6572
"Плевен","2012",6646
"Северен централен район","2012",6990
